 # webanno.custom.Participants | Participant # webanno.custom.Events | Events
#id=1
#text=I went to the corner market with my list of things I needed to buy .
1-1	I	B-ScrPart_shopper	O	
1-2	went	O	B-ScrEv_go_grocery	
1-3	to	O	O	
1-4	the	O	O	
1-5	corner	B-ScrPart_grocery_shop	O	
1-6	market	I-ScrPart_grocery_shop|B-ScrPart_grocery_shop	O	
1-7	with	O	O	
1-8	my	B-ScrPart_shopper	O	
1-9	list	B-ScrPart_grocery_list	O	
1-10	of	O	O	
1-11	things	B-ScrPart_groceries	O	
1-12	I	B-ScrPart_shopper	O	
1-13	needed	O	O	
1-14	to	O	O	
1-15	buy	O	B-???	
1-16	.	O	O	

#id=2
#text=I grabbed a shopping cart and wheeled it up and down the aisles .
2-1	I	B-ScrPart_shopper	O	
2-2	grabbed	O	B-ScrEv_take_shop_cart	
2-3	a	O	O	
2-4	shopping	B-ScrPart_shopping_cart/basket	O	
2-5	cart	I-ScrPart_shopping_cart/basket|B-ScrPart_shopping_cart/basket	O	
2-6	and	O	O	
2-7	wheeled	O	B-ScrEv_move_section	
2-8	it	B-ScrPart_shopping_cart/basket	O	
2-9	up	O	O	
2-10	and	O	O	
2-11	down	O	O	
2-12	the	O	O	
2-13	aisles	B-ScrPart_section	O	
2-14	.	O	O	

#id=3
#text=I started at aisle one and went through each one in order to make sure that I got everything I needed .
3-1	I	B-ScrPart_shopper	O	
3-2	started	O	B-UnrelEv	
3-3	at	O	O	
3-4	aisle	B-ScrPart_section	O	
3-5	one	O	O	
3-6	and	O	O	
3-7	went	O	B-ScrEv_move_section	
3-8	through	O	O	
3-9	each	O	O	
3-10	one	B-ScrPart_section	O	
3-11	in	O	O	
3-12	order	B-No_label	O	
3-13	to	O	O	
3-14	make	O	O	
3-15	sure	O	O	
3-16	that	O	O	
3-17	I	B-ScrPart_shopper	O	
3-18	got	O	B-ScrEv_get_groceries	
3-19	everything	B-ScrPart_groceries	O	
3-20	I	B-ScrPart_shopper	O	
3-21	needed	O	B-UnrelEv	
3-22	.	O	O	

#id=4
#text=Fruit and vegetables were placed in flimsy plastic bags that the market provided for me .
4-1	Fruit	B-ScrPart_groceries	O	
4-2	and	O	O	
4-3	vegetables	B-ScrPart_groceries	O	
4-4	were	O	O	
4-5	placed	O	B-ScrEv_get_groceries	
4-6	in	O	O	
4-7	flimsy	O	O	
4-8	plastic	B-NPart	O	
4-9	bags	I-NPart|B-NPart	O	
4-10	that	O	O	
4-11	the	O	O	
4-12	market	B-ScrPart_grocery_shop	O	
4-13	provided	O	B-UnrelEv	
4-14	for	O	O	
4-15	me	B-ScrPart_shopper	O	
4-16	.	O	O	

#id=5
